time side P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 acc1 acc2 acc3 ang1 ang2 ang3 totalForce cop1 cop2 
10406302 0 13 60 26 26 8 16 0 3 2 6 14 24 23 14 1 6 -0.203 0.129 0.976 0.49 1.4 0.07 661 -0.11396 -0.13953 
10406311 0 14 63 27 26 9 17 0 4 2 6 15 25 23 14 1 5 -0.2 0.133 0.979 0.14 1.05 0.14 689 -0.117 -0.13919 
10396874 1 1 15 7 8 0 3 0 2 0 0 2 9 15 0 0 0 -0.217 0.081 0.967 -6.37 -2.52 2.52 170 -0.10712 -0.23374 
10406321 0 15 64 27 26 9 17 0 4 2 6 15 25 23 14 1 5 -0.198 0.128 0.979 -0.56 0.77 0.0 695 -0.11925 -0.13828 
10396883 1 1 16 13 7 0 3 0 1 0 1 2 7 13 0 0 0 -0.219 0.08 0.97 -6.16 -2.73 2.52 176 -0.13926 -0.18276 
10396893 1 3 16 13 7 0 3 0 1 0 0 2 7 12 0 0 0 -0.226 0.085 0.974 -5.88 -2.87 2.38 177 -0.15794 -0.17368 
10406333 0 15 62 27 26 9 17 0 4 2 8 15 25 23 14 1 5 -0.196 0.13 0.979 -1.05 0.7 -0.07 695 -0.11415 -0.13643 
10406341 0 14 62 31 26 9 17 0 4 2 8 15 25 23 14 1 5 -0.193 0.128 0.978 -1.54 0.63 0.0 705 -0.11561 -0.1335 
10396905 1 3 18 12 7 0 3 0 1 0 0 1 6 9 0 0 0 -0.228 0.083 0.97 -5.67 -2.94 2.38 166 -0.19074 -0.1649 
10406351 0 14 62 31 27 9 18 0 3 2 8 15 25 25 15 0 6 -0.193 0.13 0.974 -1.89 0.63 0.14 712 -0.1146 -0.1347 
10406361 0 15 63 30 27 9 19 0 4 2 8 15 25 25 15 0 6 -0.193 0.129 0.981 -2.24 0.56 0.14 721 -0.11572 -0.13685 
10396913 1 2 18 12 6 0 3 0 1 0 0 1 6 9 0 0 0 -0.217 0.081 0.976 -5.25 -3.15 2.24 160 -0.18517 -0.16862 
10396923 1 3 16 11 7 0 3 0 1 0 0 0 5 9 0 0 0 -0.219 0.083 0.974 -4.97 -3.5 2.17 152 -0.19716 -0.16841 
10396933 1 2 15 9 6 0 2 0 1 0 0 0 4 9 0 0 0 -0.225 0.078 0.979 -4.69 -3.78 2.24 132 -0.19321 -0.17993 
10396945 1 2 15 8 5 0 2 0 1 0 0 0 4 8 0 0 0 -0.224 0.077 0.971 -4.2 -4.34 2.24 123 -0.19605 -0.18011 
10406373 0 15 63 32 27 9 19 0 4 2 8 15 25 24 14 0 6 -0.199 0.126 0.986 -2.17 0.77 0.28 723 -0.11961 -0.13489 
10406381 0 16 64 31 31 10 19 0 4 3 9 15 25 23 14 1 5 -0.206 0.13 0.981 -2.38 1.19 0.35 746 -0.12048 -0.13134 
10406391 0 15 64 32 34 10 19 0 3 2 9 15 24 23 14 1 4 -0.201 0.132 0.981 -2.73 1.54 0.42 743 -0.12667 -0.13198 
10396953 1 2 15 7 5 0 1 0 1 0 0 0 4 7 0 0 0 -0.22 0.079 0.978 -3.64 -4.97 2.45 115 -0.20283 -0.17909 
10396963 1 3 15 6 6 0 1 0 1 0 0 0 4 5 0 0 0 -0.218 0.077 0.97 -3.5 -5.18 2.87 113 -0.22391 -0.16857 
10406401 0 15 63 31 33 11 18 0 4 2 8 15 23 23 14 1 5 -0.202 0.137 0.983 -3.29 1.82 0.28 734 -0.12544 -0.133 
10406413 0 18 64 32 34 11 20 0 3 2 8 15 23 23 13 1 5 -0.198 0.132 0.98 -3.92 1.75 0.28 751 -0.13328 -0.13047 
10406421 0 19 64 36 34 10 19 0 3 2 8 15 22 21 13 1 5 -0.199 0.133 0.984 -4.69 1.61 0.14 752 -0.13961 -0.1235 
10406431 0 20 65 37 35 11 20 0 3 1 7 14 22 21 13 1 4 -0.197 0.131 0.979 -5.39 1.61 0.07 759 -0.14824 -0.12441 
10396973 1 4 14 7 6 0 3 0 1 0 0 0 3 4 0 0 0 -0.213 0.079 0.966 -3.43 -5.39 3.08 117 -0.2401 -0.15149 
